stt,ten,sodienthoai,dientich,coords
1,Indochine Palace,+84 (0)234 393 6666,2500,"16.46118512653497, 107.59827974018751"
2,Kinh Thành (Azerai La Résidence),0234 3837475,13710,"16.459106813752875, 107.58024068298002"
3,Pilgrimage Villge boutique resort & spa,0234 3885461,38831.6,"16.425058162806483, 107.57951647088434"
4,Vinpearl Hotel Huế,0234 3688666,5244,"16.463044602197375, 107.59439155260029"
5,Century Riverside Huế,0234 3823390,19656,"16.470489834091808, 107.59352215625351"
6,Cherish,0234 3943943,782.7,"16.465455355118966, 107.59490339699012"
7,Eldora,0234 3866666,1000,"16.464709367326638, 107.5945300908055"
8,Hương Giang Resort & Spa,0234 3822122,135080,"16.470795278121283, 107.59449688122042"
9,Khách sạn Asia,0234 3830284,0,"16.46904870789638, 107.59482747161847"
10,Khách sạn Mondial Huế,0234 3945599,1934,"16.457819010682524, 107.58325392355101"
11,Khách sạn Saigon Morin Huế,0234 3823526,7702,"16.466668262258132, 107.59017252358419"
12,Khách sạn Thanh Lịch Royal Boutique,2343825973,1000,"16.460469689774595, 107.5893634342662"
13,Midtown Huế,6260888,0,"16.468338442966907, 107.59417653841007"
14,Moonlight Huế,0234 3979797,676,"16.469365184062926, 107.59426733103076"
15,Mường Thanh Huế,0234 3936688,2256,"16.469395910655138, 107.59344663320725"
16,Park View ,0234 3823278,2400,"16.462510314664534, 107.58902489417817"
17,Romance,0234 3898888,773,"16.468084864781535, 107.59577962745115"
18,SilkPath - Huế,0234 3824668,10235,"16.457752943541834, 107.57973349521114"
19,Baly,0234 3876869,3682,"16.46190755436314, 107.60009290243154"
20,Đạt Anh,0234 3889889,440,"16.474778735466277, 107.60248781779191"
21,Duy Tân ,0234 3825001,5757,"16.465349948710173, 107.5923926195694"
22,Duy Tân 2,0234 3936986,779,"16.465519332717836, 107.595595174074"
23,*Hoa Nhài,3830111,0,
24,Khách sạn ALBA SPA - Alba Spa Hotel ,2343828444,968,"16.46518310838434, 107.59535059861498"
25,Khách sạn Đạt Anh,3814175,0,"16.474777160996638, 107.60248856278953"
26,Khách sạn Heritage Huế,0234 3838888,3600,"16.462658058827355, 107.59129235436347"
27,Khách sạn Thanh Lịch Huế,0234 3877877,600,"16.460469948990195, 107.58936258505909"
28,**Thanh Tâm Seaside Resort,3874456,0,
29,Ánh Sáng,234.3948585,220,
30,Ánh Sáng Thanh Bình ,234.3935887,0,
31,Bình Minh 1,234.3825526,0,"16.46590304375581, 107.59479726772645"
32,CANOSA,3845479,0,
33,Carnosa,234.3845479,0,"16.472026181248108, 107.59579431753822"
34,Điểm Đến (Beaulieu Boutique),234.3828096,0,
35,DMZ,0234 3938687,263,"16.468661706439466, 107.59416289054552"
36,GOLDEN STAR,234.3831358,0,"16.47088384778278, 107.59629455777818"
37,Hải Phương,234.3981234,120,"16.461446772308406, 107.58914879006876"
38,Hạnh Đạt,3898486,0,"16.47252967745431, 107.60051432963667"
39,Hoa Lan,234.3831177,13001,"16.469671888522328, 107.59533655218021"
40,*Hoàn Cầu,234.3824642,0,
41,Hoàng Yến (Canary - Cơ sở 2),234.3936447,159,
42,Hoàng Yến (Canary),0234 3839699,159,"16.471333809237468, 107.59706112373856"
43,Hương Cau,234.3812666,0,"16.46074346571541, 107.59720992196395"
44,Huyền Trang 1,0234.3932.932,220,"16.4750564494246, 107.60267334846287"
45,Huyền Trang II,0234.389.79.79,220,"16.477954166049834, 107.59554534947226"
46,Khách sạn Crown,2343936167,0,"16.462933284212777, 107.6071970975377"
47,Khách sạn DMZ,234.3826831,263,
48,Khách sạn Gardenia Huế,234.3686836,102.3,"16.471491198738676, 107.59623233769993"
49,Khách sạn Hoàng Dinh,234.3812222,204,"16.462221398153538, 107.59946869698997"
50,Khách sạn La Perle Huế,234.3816678,1627,"16.46993993900234, 107.59702660488071"
51,Khách sạn Lý Tưởng,2343825555,1940,"16.46853703023453, 107.59455941743732"
52,Khách sạn Nguyễn Tri Phương,2343829282,9,
53,Khách sạn Victory,234.381477,200,"16.462158567494466, 107.60258891598838"
54,KSND ven sông Huế (Vườn xưa),234.3978484,34000,
55,Nhà khách Điện Biên,234.3821678,6500,"16.457408666729627, 107.58135869307863"
56,*Như Hiền,3822908,0,
57,Phú An,234.3821168,0,"16.46520825511672, 107.59321449698989"
58,Thái Bình II,234.3827561,0,"16.465610400433043, 107.59085451071965"
59,Thân Thiện,234.3834666,240,"16.471936095543473, 107.59536885968025"
60,Thành Nội ,3522478,0,
61,Amona,3898336,0,"16.471984397484608, 107.59589030433968"
62,Bảo Minh,234.3829953,0,"16.469663091816706, 107.59460642275025"
63,Bình Dương I ,234.382999,150,"16.46440133131003, 107.59292281069064"
64,Cherry Villa ,2343897995,350,"16.478256677100863, 107.60116994470405"
65,COZY HUE,3935979,0,"16.4697879849877, 107.59696659156135"
66,Đồng Lợi ,234.3822296,0,"16.468909225056883, 107.59495014308357"
67,Đường Sắt Huế,234.358112,5976,"16.473078997525125, 107.57397517195078"
68,Gia Đạt,0234 3812528,100,"16.457386157607463, 107.58263637991867"
69,Hoàng Dũ,234.3932552,0,"16.47455525983169, 107.60259903424834"
70,Hoàng Triều,3837837,0,"16.468134627730336, 107.5948165874042"
71,HOLIDAY,234.3819844,0,"16.47174073886942, 107.59574056948726"
72,Hồng Thiện,234.3837272,0,"16.47197550383292, 107.59513571358606"
73,Hue Garden Villa Hotel,234.3828403,0,"16.469704439884662, 107.5948595555338"
74,*Huế Sài Gòn,234.3821007,0,
75,Huế Thương,234.3883793,0,"16.470184768976072, 107.59517420395541"
76,Hữu Nghị (AMIGO),234.838006,112,"16.47028800611702, 107.59436536474401"
77,Khách sạn Bảo Sơn,9142651041,103,"16.46939917085082, 107.59704766694786"
78,Khách sạn Hoàng Tử ,2343828318,454,"16.45323012046812, 107.60112357894559"
79,Khách sạn Khánh Trang,234.3817666,182.5,"16.463616095583216, 107.59914019847618"
80,Khách sạn Thanh Loan (permanently closed),234.3830575,105,
81,Khách sạn Thanh Uyên,2343999888,150,"16.469399623617164, 107.59882772683324"
82,*Khải Hoàn ,3826723,0,
83,*Lâm Bảo Long,234.3822804,0,
84,Mimosa Fiori,905100383,0,"16.44758291404391, 107.58164054754984"
85,*Minh Hiếu ,234.3828725,0,
86,Mỹ Hạnh,3935822,0,"16.47522598127206, 107.60212662606622"
87,*Ngọc Bình,3819860,0,
88,Nhà hàng khách sạn Thiên Phước,2343898966,800,"16.476723695830533, 107.60196990218128"
89,Nhật Tường,234.3830261,0,"16.467985233448708, 107.59565537309027"
90,Như Phú ,234.3825842,0,"16.470017170570358, 107.59505500397971"
91,NINO,234.3822064,0,"16.471359135364025, 107.59551287679031"
92,Nova,234.3828817,0,"16.468636868125753, 107.59391109409785"
93,Rạng Đông,3883700,0,"16.45938309621535, 107.58902168918162"
94,Thanh Bình ,234.3822955,0,"16.480061009689614, 107.5960951718022"
95,*Thành Minh,3820658,0,
96,Thanh Tuyền,234.3812156,0,"16.474808540577147, 107.60213381860032"
97,The Times,234.3836569,148,"16.469995917076073, 107.59717700504481"
98,Thùy Dương,234.3958958,0,"16.464714911168215, 107.59368508545337"
99,*Trần Lý,3830894,0,
100,VALENTINE,234.3817665,0,
101,Vọng Cảnh,3824130,372,"16.46455976197643, 107.59385063071927"
102,ALBA ,0234 3826788,416,
103,**Alina,3863666,0,
104,An Bảo (permanently closed),3812222,0,
105,Ánh Sơn,0234 3884503,200,
106,Bình Dương III,2343830145,95,"16.46452040624565, 107.59271635889641"
107,Bốn Mùa Huế,3933232,0,"16.457331465517957, 107.57500669629965"
108,*Canary Boutique,3936447,0,
109,Casablanca Boutique,3687868,0,"16.46955774781481, 107.59882203219159"
110,Champa Huế,3983666,0,"16.46819855603672, 107.60103388615438"
111,Charming (permanently closed),3812555,0,
112,Charming Reverside,3931986,0,"16.47546265959764, 107.59529886966239"
113,Chuông Vàng,234.389869,1475,"16.461361927851392, 107.60349899456793"
114,CN Công ty cổ phần An Việt II Huế - HUE HOTEL,,380.3,"16.47093995038675, 107.59498232248603"
115,Cổng chiến thắng (Win Gate),3816660,0,"16.46149520548461, 107.60243603059843"
116,Công ty Cổ phần Thương mại Dịch vụ Thuận Phú (temporarily closed),0234 3858686,10397,
117,Công ty TNHH MTV Golden Inn Hotel,234.3817879,168,"16.461569336162114, 107.58957437482562"
118,*CÔNG TY TNHH MTV YÊN HOÀNG ANH ( KHÁCH SẠN YẾN HOÀNG ANH),914173482,200,
119,Công ty TNHH Thương mại Dịch vụ Huế Cổ,2343590356,2436,
120,Cty TNHH MTV Làng Huế,,0,
121,**Cương Tuấn,3874499,0,
122,D. Hoàng Vũ,1653954041,0,"16.458422211999036, 107.59720652826569"
123,Đăng Tuấn,0234 3817161,296,"16.47106286817247, 107.59483596523664"
124,**DMH,3758627,0,
125,**Đô Thành,0234 3878845,310,
126,*Doanh Nghiệp Tư Nhân Khách Sạn Ngôi Sao Bình Dương,054-3846466,100,
127,Đồng Dao,914051525,0,"16.49071123584106, 107.60235297278233"
128,Đông Hải,3.866115,0,"16.555378836938928, 107.64762716206862"
129,Đông Sơn (permanently closed),3822861,0,
130,*Đức Lộc,3931671,0,
131,Êmm Huế,0234 3828255,1890,"16.460823259593937, 107.5915763069617"
132,Gold I,3814815,0,"16.46874421460569, 107.59866755047172"
133,*Golden Inn ,23403817879,225,
134,Green Zone Hotel,0234 3837373,60,"16.46846516289406, 107.59692645705434"
135,Hoa Đào (Cherry),3687777,0,"16.470391270183274, 107.59638953067235"
136,Hoàn Kiếm,3936566,0,"16.476109767670003, 107.60321762040493"
137,Hoàng Cung (Imperial),3882222,0,"16.46585379817463, 107.59154649699005"
138,Hồng Đức,905658826,130,
139,Hồng Thăng,0234 3938717,330,"16.473398847456245, 107.6003296855022"
140,Hồng Thiện I,3947474,0,"16.469132640751347, 107.59621666085536"
141,Hồng Thiện Ruby,3837399,0,"16.46923938556601, 107.59629712712606"
142,Huế Boutique,3933455,0,
143,Huế Ecolodge,2343935818,252908,"16.438561254175585, 107.53524099348124"
144,Huế Ngày nay,0234 3817797,165,
145,Hướng Dương ,3821550,0,"16.46035287438765, 107.58935695155597"
146,Hương Thảo,3954666,0,"16.442624071737132, 107.61860989476368"
147,Hương Vỹ (permanently closed),3832864,0,
148,Hương Vỹ III,3831444,0,
149,Khách sạn Anhill thuộc công ty cổ phần INNHUE,234.3881234,5836.3,"16.417182051127924, 107.58984717753408"
150,*Khách sạn Bảo Minh,0234 3829953,100,
151,*Khách sạn Bình Dương IV,234.3849662,0,
152,*Khách sạn Champa,905753175,150,
153,*Khách sạn Cherry ,0234 3687777,195,
154,Khách sạn Cố Đô Cỉtadel,2343826249,200,"16.461876718957075, 107.601802701197"
155,*Khách sạn Đồng Lợi,0234 3822296,800,
156,Khách sạn Đức Lộc,0234 3931671,147,"16.481402976149713, 107.59595973828878"
157,Khách sạn Familia,796626365,145,"16.470557824009845, 107.59613798903898"
158,*Khách sạn Green Zone,0234 3837373,60,
159,Khách sạn Hài Hòa,0234 3845777,87,"16.460795387891526, 107.58980901195831"
160,Khách sạn Hoa Nhài,0234 3830111,521.4,"16.470313759461725, 107.59481293865882"
161,Khách sạn Hoàn Cầu,0234 3624642,750,"16.464776929605204, 107.59547953516353"
162,khách sạn Hoàng Anh Palace,0905266855/ 0934751868,800,"16.47308400954763, 107.60067662613238"
163,Khách sạn Hoàng Huy,905073074,84,"16.451025012546577, 107.60702720059996"
164,Khách sạn Hồng Nhung,0234 3820993,147,"16.47283592153616, 107.59586626912198"
165,Khách sạn Hông Thăng,0234 3938717,353,"16.47339720965708, 107.60032987652406"
166,Khách sạn Huế (Hue Classic Hotel),0234-3689998,500,"16.480812470503242, 107.5964992647981"
167,Khách sạn Huế Sài Gòn,0234 3821007,168,"16.464169433565903, 107.59391935564733"
168,Khách sạn Jade Scene Hotel ,935353117,271,"16.46951765457458, 107.59701682343812"
169,Khách sạn Khải Hoàn,0234 3826724,250,"16.468735000690796, 107.59903940936748"
170,Khách sạn Lâm Bảo Long,903599727,80,"16.470566966848768, 107.59454691184301"
171,Khách sạn Minh Hiếu,0234 3828725,150,"16.470681198303897, 107.59521015064075"
172,Khách sạn Minh Long,0234 3857575,180,"16.472902923633175, 107.60185254376971"
173,Khách sạn Nam Hold Hotel,912564566,127,"16.46913488657344, 107.59475553533194"
174,Khách sạn New Time,234.3822765,136,"16.468524155146717, 107.59403599699003"
175,Khách sạn Ngọc Bình,0234 3819860,98.4,"16.464361677951107, 107.59279049901068"
176,**Khách sạn Ngọc Hằng,905731130,1000,
177,Khách sạn Như Hiền,0234 3822908,178,"16.478712578495305, 107.59561610000091"
178,Khách sạn Như Ngọc,932555952,250,"16.45399804873288, 107.57451256205074"
179,Khách sạn Pao,905564275,150,"16.468904633313166, 107.59567169388347"
180,Khách sạn Phong Nha ,234.3827729,170,"16.464556327526505, 107.5926992876274"
181,*Khách sạn Phú Quý 2,0234 3676555,120,
182,**Khách sạn Quỳnh Liên,234.3873429,0,
183,Khách sạn Rosaleen Boutique,0234 3834647,4593,"16.4695040551558, 107.59548876754228"
184,Khách sạn Spatel d'Annam ,0234 7722222,4580,"16.47348452010494, 107.57958223040252"
185,*Khách sạn Thái Bình,905435222,230,
186,Khách sạn Thành Minh,0234 3820658,300,"16.470659246233915, 107.59847167378557"
187,Khách sạn Thảo An,2343977999,125,"16.474887355204693, 107.60280159699012"
188,Khách sạn Thảo An 2,0234 62288999,220,
189,Khách sạn Thiên Đường,0234 3825976,283.6,"16.468048970832218, 107.59846814248813"
190,Khách sạn Thiên Phú,23403828287,320,"16.453721587805273, 107.58762224157836"
191,Khách sạn Trần Lý,0234 3830894,105,"16.470551878072584, 107.59453051033287"
192,Khách sạn Tre Xanh,234.3828888,125,"16.46432495563047, 107.59410369480759"
193,Khách sạn Trúc Xanh,2343510999,0,"16.45694864120509, 107.55776049699003"
194,Khách sạn Trương Giang,0234 3826827,300,"16.468476821567016, 107.59406247985802"
195,Khách sạn Tự Do ,0234 3845676,76,
196,*Khách sạn Victory,0234 3814770,180,
197,Khách sạn Volga,0234 2282479,80,"16.46413424229004, 107.59488172402959"
198,Khách sạn White Lotus Huế ,234.3881888,1770,"16.46528233283347, 107.5907118643013"
199,Khách sạn Xanh - Huế (Green Hotel Hue),54.383442,0,"16.45755545942795, 107.57925652193832"
200,**Khách Sạn Yến Hoàng Anh,0234 3874545,200,
201,Khánh Minh Long,905809808,0,
202,**Khu DL Bạch Mã,3871330,0,
203,**Khu nghỉ dưỡng Lăng Cô (T26) ,0.8054555,0,
204,**KS ND Lăng Cô,0234 3873555,68740,
205,KSND Vedana  ,0234 3681685,273336,"16.433809713683463, 107.58070973236784"
206,Làng Cò Resort ,3874426,0,
207,Lapochine Beach Resort ,0234 3983333,28000,
208,**Mai Nga,3676999,0,
209,Minh Trang (permanently closed),3828148,0,
210,MOTEL BÔNG SEN,2343.525997,0,"16.472724506801658, 107.5831493481857"
211,Ngọc Bích,0234 3938849,110,
212,Ngọc Hưng,3837999,0,"16.469528348422905, 107.59571111810394"
213,**Ngọc Thanh,3873725,0,
214,Ngôi sao Bình Dương,234.3846466,170,"16.463151192347336, 107.59002940000089"
215,Ngự Bình ,3825752,0,"16.45130134651329, 107.5897472477796"
216,Nhà nghỉ Ánh Ngọc,906090881,50,"16.454732726442103, 107.5826968732259"
217,Nhật Lệ,3827563,0,"16.4639175231851, 107.59108007976214"
218,Như Hiền 2,3987769,0,
219,NICE HUE HOTEL,234.3820413,250,"16.460679222586776, 107.5893544873579"
220,Nữ Hoàng,,0,"16.4871114023459, 107.59517565586096"
221,Phố Huế ,0234 3823456,3685,"16.470991555615186, 107.59628151092338"
222,Phú Gia,3891492,0,
223,Phúc Khang,,0,
224,Phượng Hoàng ,3826736,0,"16.469707992938794, 107.59354112052606"
225,Quang Thịnh,908180965,0,
226,Quỳnh Ngọc,971810999,0,"16.465616499579138, 107.60516191175748"
227,River View,3827403,0,
228,Royal Crest (permanently closed),906589919,0,
229,Sang Trọng,3812256,0,
230,**Sankofa Village Hill Resort & Spa,0234 3777999,30000,
231,Sen,0234 3824831,100,"16.460796184981632, 107.58979060942609"
232,**Sen Lăng Cô,3676777,0,
233,Song Cầm,3838347,0,"16.457173164713, 107.58255271307318"
234,Stay,3823999,0,"16.472062165698127, 107.59559138071363"
235,Thái Sơn,3824258,0,"16.46205623849186, 107.60021494889578"
236,Thái Ý,3897372,0,"16.474320162016515, 107.59595501297521"
237,Thăng Long ,3826462,0,"16.464840930035432, 107.59314419672491"
238,Thăng Long III,3823531,0,"16.468765278478767, 107.59614067055317"
239,Thành Lợi ,3524803,0,"16.469078109111827, 107.58461621279325"
240,Thanh Xuân,3816868,0,"16.46578327576433, 107.59176217879352"
241,The Scarlett,234.3939666,1539,"16.467122677082827, 107.59488043138897"
242,*Thiên Đường ,3825976,0,
243,*Thiên Phú,3828287,0,
244,**Triệu Vỹ,0234 3876969,600,
245,*Trường Giang ,3826827,0,
246,*Tự Do (Liberty),3845676,0,
247,Tulip,0234 3845777,87,
248,*Volga,2282479,0,
249,Waterland,3935435,0,"16.469420274266497, 107.5969228064982"
250,White Hotel (permanently closed),3966869,0,
251,Yến Yến,914019823,0,"16.474321066563405, 107.59595387523592"
